Sl no,Class,Name of town,Name of the slum,Notified,No of HHs (approx),Population of slum,Paved Roads in km,Drainage - Open,Drainage Closed,Both (Open and closed),No Drainage,Num Latrines - Pit,Num Latrines - Flush/pour flush,Num of latrines - service,Num of latrines - others,Community Toilets,Number of tap points/public hydrants for water supply,Electricity - Domestic,Electricity - street lighting,Electricity - Others
1,III,Anekal  (TMC),Bahaddurpura,No,125,390,1.5,OD,-,-,-,35,43,0,43,0,35,121,3,0
2,III,Anekal  (TMC),Ayodya Nagar,No,150,525,0.5,OD,-,-,-,42,52,0,52,0,50,146,3,0
3,III,Anekal  (TMC),Indiranagar,No,135,404,1,OD,-,-,-,38,44,0,47,2,30,131,3,0
4,III,Anekal  (TMC),A.K.Colony,Yes,25,120,0.4,OD,-,-,-,7,5,0,9,0,15,21,1,0
5,III,Anekal  (TMC),A.D.Colony,Yes,76,316,0.6,OD,-,-,-,21,25,0,26,0,20,72,1,0
6,III,Anekal  (TMC),Sweeper Colony,Yes,87,381,1.2,OD,-,-,-,24,29,0,30,0,20,83,1,0
7,III,Anekal  (TMC),Venkateshwara Colony,No,143,564,1.4,OD,-,-,-,40,49,0,50,0,40,139,3,0
8,III,Anekal  (TMC),Bhaddurpura,No,243,794,0.6,OD,-,-,-,68,87,0,84,0,85,239,3,0
9,III,Anekal  (TMC),Narayanapura,No,315,1363,0.8,OD,-,-,-,88,114,0,109,0,195,311,5,0
10,1,BBMP  (M Corp. + OG) (Part),Janatha Colony Slum,No,247,987,0.8,-,-,BD,-,26,194,0,1,22,9,242,3,0
11,1,BBMP  (M Corp. + OG) (Part),A K Colony Slum,No,127,646,1,-,-,BD,-,13,98,0,1,11,5,125,3,0
12,1,BBMP  (M Corp. + OG) (Part),Puttenahalli Janatha Colony  Slum,No,153,631,1.2,-,-,BD,-,16,118,0,1,14,6,150,3,0
13,1,BBMP  (M Corp. + OG) (Part),A D Colony Slum,No,111,507,1,-,-,BD,-,12,84,0,1,10,4,109,3,0
14,1,BBMP  (M Corp. + OG) (Part),J P N Colony Slum,No,37,179,0.8,-,-,BD,-,4,30,0,0,3,1,36,1,0
15,1,BBMP  (M Corp. + OG) (Part),Chikdbommasandra,Yes,183,803,0.7,-,-,BD,-,19,143,0,1,16,7,180,3,0
16,1,BBMP  (M Corp. + OG) (Part),Ambedkar Nagara,No,133,580,0.6,-,-,BD,-,14,102,0,1,12,5,131,3,0
17,1,BBMP  (M Corp. + OG) (Part),Lbs Nagara Slum,Yes,448,1920,0.9,-,-,BD,-,47,355,0,2,40,17,440,5,0
18,1,BBMP  (M Corp. + OG) (Part),Rachenahalli Ak Coly Slum,No,137,606,1,-,-,BD,-,14,106,0,1,12,5,134,3,0
19,1,BBMP  (M Corp. + OG) (Part),Thanisandra A K Colony Slum,No,169,724,0.8,-,-,BD,-,18,131,0,1,15,6,166,3,0
20,1,BBMP  (M Corp. + OG) (Part),Ward No.7,No,1421,5616,1.4,-,-,BD,-,148,1136,0,7,126,55,1395,8,0
21,1,BBMP  (M Corp. + OG) (Part),Abbigere Janatha Colony Slum,Yes,384,1524,1.6,-,-,BD,-,40,304,0,2,34,15,377,5,0
22,1,BBMP  (M Corp. + OG) (Part),Kammagondanahalli Onokarab Slum,Yes,55,222,1.2,-,-,BD,-,6,40,0,0,5,2,54,1,0
23,1,BBMP  (M Corp. + OG) (Part),Jb Kaval Kammagondanahalli Slum,No,796,3505,1.1,-,-,BD,-,83,635,0,4,70,31,781,5,0
24,1,BBMP  (M Corp. + OG) (Part),Sarkari Bande Slum,No,173,722,1.6,-,-,BD,-,18,135,0,1,15,7,170,3,0
25,1,BBMP  (M Corp. + OG) (Part),Manjunathnagar Slum,Yes,460,1606,1.4,-,-,BD,-,48,365,0,2,41,18,452,5,0
26,1,BBMP  (M Corp. + OG) (Part),Katarayana Nagar Slum,Yes,379,1428,1,-,-,BD,-,39,301,0,2,33,15,372,5,0
27,1,BBMP  (M Corp. + OG) (Part),Manjunathnagar Slum,Yes,1842,6794,1,-,-,BD,-,192,1474,0,9,163,71,1808,8,0
28,1,BBMP  (M Corp. + OG) (Part),Vinayaka Nagara (Karekal)Slum,No,195,815,1.5,-,-,BD,-,20,153,0,1,17,7,191,3,0
29,1,BBMP  (M Corp. + OG) (Part),Kalahasthi Nagar Slum,No,382,1511,0.5,-,-,BD,-,40,302,0,2,34,15,375,5,0
30,1,BBMP  (M Corp. + OG) (Part),Siddarthanagar Slum,Yes,992,4292,0.6,-,-,BD,-,103,792,0,5,88,38,974,5,0
31,1,BBMP  (M Corp. + OG) (Part),Khathanagar Slum,No,286,1426,0.5,-,-,BD,-,30,226,0,1,25,11,281,3,0
32,1,BBMP  (M Corp. + OG) (Part),Akkiyappa Garden Slum,No,96,429,0.3,-,-,BD,-,10,74,0,0,8,4,94,1,0
33,1,BBMP  (M Corp. + OG) (Part),Poornapura Slum,No,30,116,0.4,-,-,BD,-,3,20,0,0,3,1,29,1,0
34,1,BBMP  (M Corp. + OG) (Part),B Ramaiah Colony Slum,No,152,675,0.6,-,-,BD,-,16,118,0,1,13,6,149,3,0
35,1,BBMP  (M Corp. + OG) (Part),Akkiyappa Garden Slum,No,40,154,1.2,-,-,BD,-,4,28,0,0,4,2,39,1,0
36,1,BBMP  (M Corp. + OG) (Part),Poornapura Slum,No,69,291,1,-,-,BD,-,7,52,0,0,6,3,68,1,0
37,1,BBMP  (M Corp. + OG) (Part),Gunduthopu Slum,No,134,529,0.8,-,-,BD,-,14,103,0,1,12,5,132,3,0
38,1,BBMP  (M Corp. + OG) (Part),Ambedkar Slum,No,56,319,0.7,-,-,BD,-,6,41,0,0,5,2,55,1,0
39,1,BBMP  (M Corp. + OG) (Part),Bande Colony Slum,No,175,774,0.6,-,-,BD,-,18,137,0,1,15,7,172,3,0
40,1,BBMP  (M Corp. + OG) (Part),Kunti Grama Slum,Yes,50,215,0.9,-,-,BD,-,5,41,0,0,4,2,49,1,0
41,1,BBMP  (M Corp. + OG) (Part),Shakti Nagar Slum,Yes,65,271,1,-,-,BD,-,7,48,0,0,6,2,64,1,0
42,1,BBMP  (M Corp. + OG) (Part),Basavalingappanagar Slum,No,201,969,0.8,-,-,BD,-,21,157,0,1,18,8,197,3,0
43,1,BBMP  (M Corp. + OG) (Part),Mm Lane Samadananagar,No,276,1372,1.4,-,-,BD,-,29,218,0,1,24,11,271,3,0
44,1,BBMP  (M Corp. + OG) (Part),Samadanagar,No,120,501,1.6,-,-,BD,-,12,92,0,1,11,5,118,3,0
45,1,BBMP  (M Corp. + OG) (Part),Chuna No 1 Kg Halli Slum,No,97,507,1.2,-,-,BD,-,10,74,0,0,9,4,95,1,0
46,1,BBMP  (M Corp. + OG) (Part),Mm Lane Samadananagar,No,155,713,1.1,-,-,BD,-,16,120,0,1,14,6,152,3,0
47,1,BBMP  (M Corp. + OG) (Part),Sait Lane Slum,No,101,515,1.6,-,-,BD,-,11,76,0,1,9,4,99,3,0
48,1,BBMP  (M Corp. + OG) (Part),Rama Temple Slum,No,41,177,1.4,-,-,BD,-,4,29,0,0,4,2,40,1,0
49,1,BBMP  (M Corp. + OG) (Part),Hbr 1St Block Slum,No,112,480,1,-,-,BD,-,12,85,0,1,10,4,110,3,0
50,1,BBMP  (M Corp. + OG) (Part),Peeal Shop Slum,No,143,555,1,-,-,BD,-,15,110,0,1,13,5,140,3,0
51,1,BBMP  (M Corp. + OG) (Part),Kamraj Slum,Yes,175,873,1.4,-,-,BD,-,18,137,0,1,15,7,172,3,0
